id,mz,mz_range:min,mz_range:max,rt,rt_range:min,rt_range:max,area,height,intensity_range:min,intensity_range:max,charge,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,molecular_networking:net_cluster_id,molecular_networking:net_community_id,molecular_networking:edges,molecular_networking:net_cluster_size,molecular_networking:net_community_size,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,preferred_annotation:compound_name,preferred_annotation:mol_formula,preferred_annotation:adduct,preferred_annotation:score,preferred_annotation:precursor_mz,preferred_annotation:annotation_method,preferred_annotation:n_matching_signals,preferred_annotation:explained_intensity_percent,preferred_annotation:smiles,preferred_annotation:inchi,preferred_annotation:mz_diff,preferred_annotation:mz_diff_ppm,preferred_annotation:neutral_mass,preferred_annotation:rt_absolute_error,preferred_annotation:comment,preferred_annotation:classyfire_class,preferred_annotation:ccs,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:inchi,spectral_db_matches:classyfire_class,spectral_db_matches:neutral_mass,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:rt_absolute_error,spectral_db_matches:ccs,spectral_db_matches:comment,lipid_annotations:lipid_annotations,lipid_annotations:ion_adduct,lipid_annotations:mol_formula,lipid_annotations:mz_diff_ppm,lipid_annotations:explained_intensity_percent,feature_group,datafile:Crop_P1-E-1_1_14971.d:feature_state,datafile:Crop_P1-E-1_1_14971.d:mz,datafile:Crop_P1-E-1_1_14971.d:mz_range:min,datafile:Crop_P1-E-1_1_14971.d:mz_range:max,datafile:Crop_P1-E-1_1_14971.d:rt,datafile:Crop_P1-E-1_1_14971.d:rt_range:min,datafile:Crop_P1-E-1_1_14971.d:rt_range:max,datafile:Crop_P1-E-1_1_14971.d:fwhm,datafile:Crop_P1-E-1_1_14971.d:area,datafile:Crop_P1-E-1_1_14971.d:height,datafile:Crop_P1-E-1_1_14971.d:intensity_range:min,datafile:Crop_P1-E-1_1_14971.d:intensity_range:max,datafile:Crop_P1-E-1_1_14971.d:charge,datafile:Crop_P1-E-1_1_14971.d:fragment_scans,datafile:Crop_P1-E-1_1_14971.d:isotopes,datafile:Crop_P1-E-1_1_14971.d:tailing_factor,datafile:Crop_P1-E-1_1_14971.d:asymmetry_factor,datafile:Crop_P1-E-1_1_14971.d:msms_info,datafile:Crop_P1-E-1_1_14971.d:rt_ms2_apex_distance,datafile:Hind_P1-E-3_1_14973.d:feature_state,datafile:Hind_P1-E-3_1_14973.d:mz,datafile:Hind_P1-E-3_1_14973.d:mz_range:min,datafile:Hind_P1-E-3_1_14973.d:mz_range:max,datafile:Hind_P1-E-3_1_14973.d:rt,datafile:Hind_P1-E-3_1_14973.d:rt_range:min,datafile:Hind_P1-E-3_1_14973.d:rt_range:max,datafile:Hind_P1-E-3_1_14973.d:fwhm,datafile:Hind_P1-E-3_1_14973.d:area,datafile:Hind_P1-E-3_1_14973.d:height,datafile:Hind_P1-E-3_1_14973.d:intensity_range:min,datafile:Hind_P1-E-3_1_14973.d:intensity_range:max,datafile:Hind_P1-E-3_1_14973.d:charge,datafile:Hind_P1-E-3_1_14973.d:fragment_scans,datafile:Hind_P1-E-3_1_14973.d:isotopes,datafile:Hind_P1-E-3_1_14973.d:tailing_factor,datafile:Hind_P1-E-3_1_14973.d:asymmetry_factor,datafile:Hind_P1-E-3_1_14973.d:msms_info,datafile:Hind_P1-E-3_1_14973.d:rt_ms2_apex_distance,datafile:Mid_P1-E-2_1_14972.d:feature_state,datafile:Mid_P1-E-2_1_14972.d:mz,datafile:Mid_P1-E-2_1_14972.d:mz_range:min,datafile:Mid_P1-E-2_1_14972.d:mz_range:max,datafile:Mid_P1-E-2_1_14972.d:rt,datafile:Mid_P1-E-2_1_14972.d:rt_range:min,datafile:Mid_P1-E-2_1_14972.d:rt_range:max,datafile:Mid_P1-E-2_1_14972.d:fwhm,datafile:Mid_P1-E-2_1_14972.d:area,datafile:Mid_P1-E-2_1_14972.d:height,datafile:Mid_P1-E-2_1_14972.d:intensity_range:min,datafile:Mid_P1-E-2_1_14972.d:intensity_range:max,datafile:Mid_P1-E-2_1_14972.d:charge,datafile:Mid_P1-E-2_1_14972.d:fragment_scans,datafile:Mid_P1-E-2_1_14972.d:isotopes,datafile:Mid_P1-E-2_1_14972.d:tailing_factor,datafile:Mid_P1-E-2_1_14972.d:asymmetry_factor,datafile:Mid_P1-E-2_1_14972.d:msms_info,datafile:Mid_P1-E-2_1_14972.d:rt_ms2_apex_distance
12,734.82683,734.81604,734.84054,0.3181,0.3006,0.5135,3.157E2,3.875E3,3.811E2,3.875E3,1,0,0.2,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ESTIMATED,734.83134,734.82877,734.83487,0.3328,0.3239,0.3417,0.0178,4.591E1,3.875E3,1.052E3,3.875E3,,,,1.0018,1.0036,0,,ESTIMATED,734.82173,734.81604,734.83661,0.315,0.3006,0.3328,0.186,5.304E1,2.048E3,5.32E2,2.048E3,,,,1.1156,1.2312,0,,DETECTED,734.82743,734.81735,734.84054,0.3066,0.3008,0.5135,0.1113,3.157E2,2.687E3,3.811E2,2.687E3,1,,2,18.2794,34.4427,0,
68,1182.74611,1182.73103,1182.76567,0.3208,0.3008,0.3601,1.459E2,3.787E3,4.6E2,3.787E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTIMATED,1182.74642,1182.73332,1182.75523,0.3239,0.315,0.3328,0.0178,3.412E1,2.8E3,7.05E2,2.8E3,,,,1.0001,1.0001,0,,ESTIMATED,1182.74264,1182.73103,1182.76567,0.3239,0.3064,0.3601,0.0283,8.098E1,2.915E3,4.6E2,2.915E3,,,,1.5289,1.8952,0,,DETECTED,1182.74926,1182.73836,1182.76387,0.3147,0.3008,0.3594,0.0766,1.459E2,3.787E3,1.4E3,3.787E3,1,,36,2.1077,3.2154,0,
85,858.33513,858.32705,858.35536,0.3208,0.301,0.3688,8.862E1,3.237E3,3.68E2,3.237E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DETECTED,858.34343,858.33227,858.35536,0.315,0.301,0.3688,0.1173,8.862E1,2.248E3,7.769E2,2.248E3,1,,8,2.4216,3.8432,0,,ESTIMATED,858.33283,858.3296,858.34343,0.3239,0.3064,0.3417,0.0394,3.462E1,1.49E3,3.68E2,1.49E3,,,,1.0055,1.0109,0,,ESTIMATED,858.32913,858.32705,858.34343,0.3236,0.3066,0.3325,0.0155,3.924E1,3.237E3,3.69E2,3.237E3,,,,0.7616,0.5232,0,
90,1000.79197,1000.77771,1000.81471,0.3179,0.3006,0.4075,1.42E2,3.453E3,5.817E1,3.453E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,DETECTED,1000.79758,1000.77771,1000.81471,0.315,0.301,0.4075,0.0583,1.42E2,3.43E3,5.817E1,3.43E3,1,,6,3.369,5.7624,0,,ESTIMATED,1000.78897,1000.77956,1000.80625,0.3239,0.3006,0.3601,0.0406,7.558E1,2.027E3,6.06E2,2.027E3,,,,1.2735,1.5471,0,,ESTIMATED,1000.78935,1000.77964,1000.79682,0.3147,0.3008,0.3236,0.017,5.492E1,3.453E3,1.727E3,3.453E3,,,,0.821,0.642,0,
108,1246.11273,1246.09917,1246.14662,0.3208,0.301,0.4756,1.455E2,3.008E3,1.232E2,3.008E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,DETECTED,1246.12633,1246.09917,1246.14662,0.315,0.301,0.4756,0.0509,1.455E2,3.008E3,1.232E2,3.008E3,1,,5,5.8366,10.2053,0,,ESTIMATED,1246.10503,1246.10494,1246.12633,0.3328,0.3239,0.3417,0.0177,1.266E1,1.326E3,2.03E2,1.326E3,,,,0.9999,0.9998,0,,ESTIMATED,1246.10684,1246.10684,1246.12633,0.3147,0.3066,0.3236,0.017,1.521E1,1.789E3,1.789E3,1.789E3,,,,1.0522,1.1043,0,
110,1264.75284,1264.73624,1264.7819,0.3268,0.301,0.3879,1.236E2,3.276E3,2.09E2,3.276E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DETECTED,1264.75629,1264.7404,1264.7819,0.315,0.301,0.3879,0.081,1.236E2,2.658E3,2.09E2,2.658E3,1,,41,2.1169,3.1687,0,,ESTIMATED,1264.74651,1264.73624,1264.75907,0.3417,0.3239,0.3601,0.0202,6.959E1,3.276E3,1.101E3,3.276E3,,,,1.0178,1.0357,0,,ESTIMATED,1264.75573,1264.74523,1264.76853,0.3236,0.3147,0.3325,0.0178,3.294E1,2.654E3,1.02E3,2.654E3,,,,0.9985,0.9969,0,
114,1322.75135,1322.73323,1322.78493,0.3179,0.301,0.3977,1.097E2,2.711E3,1.22E2,2.711E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,DETECTED,1322.75758,1322.73323,1322.78493,0.315,0.301,0.3977,0.0371,1.097E2,2.711E3,1.22E2,2.711E3,1,,17,3.0566,4.3747,0,,ESTIMATED,1322.74876,1322.74697,1322.7604,0.315,0.3064,0.3328,0.0139,2.399E1,2.367E3,3.62E2,2.367E3,,,,1.5282,1.0945,0,,ESTIMATED,1322.74771,1322.74771,1322.75758,0.3236,0.3147,0.3325,0.0178,1.706E1,1.914E3,1.914E3,1.914E3,,,,0.9985,0.9969,0,
126,1114.77098,1114.74679,1114.78711,0.3179,0.3006,0.3692,1.447E2,3.372E3,8.5E2,3.372E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,ESTIMATED,1114.7785,1114.76682,1114.78711,0.315,0.301,0.3239,0.066,3.289E1,1.865E3,1.667E3,1.865E3,,,,0.8178,0.6356,0,,DETECTED,1114.76682,1114.74679,1114.77504,0.315,0.3006,0.3692,0.0538,1.447E2,3.372E3,8.5E2,3.372E3,1,,5,2.3747,3.7494,0,,ESTIMATED,1114.76764,1114.74727,1114.77711,0.3236,0.3066,0.3325,0.0181,5.553E1,3.278E3,1.088E3,3.278E3,,,,0.7616,0.5232,0,
145,1453.68538,1453.65767,1453.71189,0.3387,0.3006,0.3597,7.025E1,2.076E3,1.03E2,2.076E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,ESTIMATED,1453.68906,1453.66913,1453.71189,0.3506,0.3328,0.3597,0.0341,2.127E1,1.272E3,1.09E2,1.272E3,,,,0.7554,0.5108,0,,DETECTED,1453.68856,1453.65767,1453.70533,0.315,0.3006,0.3507,0.2616,7.025E1,2.076E3,9.787E2,2.076E3,1,,3,1.7363,2.4725,0,,ESTIMATED,1453.67853,1453.66173,1453.69631,0.3503,0.3236,0.3594,0.0188,1.361E1,7.46E2,1.03E2,7.46E2,,,,0.6689,0.4836,0,
148,1417.71905,1417.69705,1417.74574,0.3238,0.3008,0.3597,8.973E1,2.337E3,3.18E2,2.337E3,1,0,0.4,2,0,0.89,2.34,0.00332,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DETECTED,1417.72363,1417.71013,1417.74574,0.315,0.301,0.3597,0.0847,8.973E1,2.337E3,4.707E2,2.337E3,1,,15,2.0982,3.1965,0,,ESTIMATED,1417.70248,1417.69705,1417.72197,0.3328,0.3239,0.3507,0.0175,2.009E1,1.517E3,7.4E2,1.517E3,,,,1.5102,2.0204,0,,ESTIMATED,1417.73104,1417.71593,1417.74561,0.3236,0.3008,0.3414,0.0127,2.563E1,1.664E3,3.18E2,1.664E3,,,,0.8898,0.7724,0,
