Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Blank_20ng_3-18-2026_Slot2-04_21527.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Crop_100ng_3-18-2026_Slot2-01_21523.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Hind_100ng_3-18-2026_Slot2-03_21525.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Mid_100ng_3-18-2026_Slot2-02_21524.d
A0A087ZV30	A0A087ZV30_APIME	412768	Takeout			9648.05	
A0A087ZYQ1	A0A087ZYQ1_APIME	LOC411014	Malate dehydrogenase	1.04066e+06	1.24485e+06	1.93941e+06	766119
A0A088A0N5;A0A7M7FZ16;A0A7M7LKA7	A0A088A0N5_APIME;A0A7M7FZ16_APIME;A0A7M7LKA7_APIME	724633;725344;726447	Histone H2B		764416	2.20116e+06	880029
A0A088A461	A0A088A461_APIME	LOC726423	Transient receptor potential cation channel protein painless		60511.8	38233.7	48080.3
A0A088AF37	A0A088AF37_APIME	410610	Calmodulin-like protein 4		30996.3	34766.5	25805.7
A0A088AHC8	A0A088AHC8_APIME	410122	Glyceraldehyde-3-phosphate dehydrogenase	1.79309e+06	1.90665e+06	2.90199e+06	1.43642e+06
A0A343D003	A0A343D003_APILI	COI	Cytochrome c oxidase subunit 1			25635.8	78341.8
A0A343D004;Q56TT0	A0A343D004_APILI;Q56TT0_APIME	COII;COX2	Cytochrome c oxidase subunit 2	376912	259203	1.19611e+06	1.62003e+06
A0A343D005	A0A343D005_APILI	ATP8	ATP synthase F0 subunit 8		38880.1	55049.9	104036
A0A343D014	A0A343D014_APILI	ND1	NADH-ubiquinone oxidoreductase chain 1			32067.6	50511.6
A0A411FEG7	A0A411FEG7_APILI	CYTB	Cytochrome b		18014.7	43670.2	73813.4
A0A7M6UBX0	A0A7M6UBX0_APIME	TpnT	Troponin T isoform 1	1.8491e+06	5.15963e+06	4.64533e+06	710642
A0A7M6UCG3	A0A7M6UCG3_APIME	LOC725609	Heat shock factor-binding protein 1		53161.3	28539.5	31840.7
A0A7M6UCJ0	A0A7M6UCJ0_APIME	406119	Lambda crystallin-like protein	241594	111049	147482	1.01948e+06
A0A7M6UCP1	A0A7M6UCP1_APIME	552281	Glycine-rich cuticle protein		23722.4	55060.3	85236.2
A0A7M6UCT9	A0A7M6UCT9_APIME	Hsc70-4	Heat shock 70 kDa protein cognate 4	2.29986e+06	3.45709e+06	2.26366e+06	2.10611e+06
A0A7M6UD13	A0A7M6UD13_APIME	727061	COX assembly mitochondrial protein	162704	167692	401363	102663
A0A7M6UD57	A0A7M6UD57_APIME	409356	Small nuclear ribonucleoprotein-associated protein		4400.6	6090.12	51477.1
A0A7M6UD74	A0A7M6UD74_APIME	412484	Peptidoglycan-recognition protein		54621.5		
A0A7M6UD80	A0A7M6UD80_APIME	Snf	U1 small nuclear ribonucleoprotein A		100679	105488	28113.2
A0A7M6UD86	A0A7M6UD86_APIME	726644	Cytochrome c oxidase assembly factor-like		23143.1	43285.5	39086.2
A0A7M6UDS2	A0A7M6UDS2_APIME	409398	Superoxide dismutase [Cu-Zn]	981174	1.89384e+06	1.45695e+06	989666
A0A7M6UE88	A0A7M6UE88_APIME	Prpf3	U4/U6 small nuclear ribonucleoprotein Prp3		18156.2	17595.2	
A0A7M6UEA0	A0A7M6UEA0_APIME	Cdc37	Hsp90 co-chaperone Cdc37		61550.5	49317.8	32380.3
A0A7M6UEA1	A0A7M6UEA1_APIME	408324	T-cell immunomodulatory protein precursor		69179.7	62286.8	56710
A0A7M6UEA7	A0A7M6UEA7_APIME	LOC409699	26S proteasome non-ATPase regulatory subunit 1-like		60536.9	66821.1	65537.3
A0A7M6UEA8	A0A7M6UEA8_APIME	Ppib	Peptidyl-prolyl cis-trans isomerase	749050	892094	540185	778492
A0A7M6UEB4	A0A7M6UEB4_APIME	Eif3h	Eukaryotic translation initiation factor 3 subunit H		131569	122007	67273.1
A0A7M6UEC0	A0A7M6UEC0_APIME	LOC726880	phospholipase A1				8641.52
A0A7M6UEC6	A0A7M6UEC6_APIME	EF1a-F2	Elongation factor 1-alpha	1.07599e+06	1.33579e+06	1.2417e+06	1.65588e+06
A0A7M6UEG6	A0A7M6UEG6_APIME	727274	PHD and ring finger domains 1		33553.9	46505.9	
A0A7M6UEH4	A0A7M6UEH4_APIME	409345	Cuticular protein 3 precursor		30188.4	191981	131780
A0A7M6UEI9	A0A7M6UEI9_APIME	Rep	Rab proteins geranylgeranyltransferase component A		161250	128706	76240.9
A0A7M6UEN5	A0A7M6UEN5_APIME	LOC724946	Cytochrome P450 6a14-like	301852	159072	176030	1.04113e+06
A0A7M6UEY4	A0A7M6UEY4_APIME	724966	Large ribosomal subunit protein eL39		26980.1	119695	116394
A0A7M6UFV3	A0A7M6UFV3_APIME	100302106	Uncharacterized protein LOC100302106		148629	566216	156521
A0A7M6UG36	A0A7M6UG36_APIME	725089	Cuticular protein precursor		33224.9	71352.6	60671.4
A0A7M6UGJ4	A0A7M6UGJ4_APIME	LOC727144	Tether containing UBX domain for GLUT4		19967.8	31894.9	15395.9
A0A7M6UGK3	A0A7M6UGK3_APIME	Chmp1	Chromatin modifying protein 1		120905	129518	113636
