id,mz,mz_range:min,mz_range:max,rt,rt_range:min,rt_range:max,area,height,intensity_range:min,intensity_range:max,charge,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,molecular_networking:net_cluster_id,molecular_networking:net_community_id,molecular_networking:edges,molecular_networking:net_cluster_size,molecular_networking:net_community_size,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,preferred_annotation:compound_name,preferred_annotation:mol_formula,preferred_annotation:adduct,preferred_annotation:score,preferred_annotation:precursor_mz,preferred_annotation:annotation_method,preferred_annotation:n_matching_signals,preferred_annotation:explained_intensity_percent,preferred_annotation:smiles,preferred_annotation:inchi,preferred_annotation:neutral_mass,preferred_annotation:mz_diff,preferred_annotation:mz_diff_ppm,preferred_annotation:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:inchi,spectral_db_matches:neutral_mass,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:rt_absolute_error,lipid_annotations:lipid_annotations,lipid_annotations:ion_adduct,lipid_annotations:mol_formula,lipid_annotations:mz_diff_ppm,lipid_annotations:explained_intensity_percent,feature_group,datafile:Crop_P1-A-1_562.d:feature_state,datafile:Crop_P1-A-1_562.d:mz,datafile:Crop_P1-A-1_562.d:mz_range:min,datafile:Crop_P1-A-1_562.d:mz_range:max,datafile:Crop_P1-A-1_562.d:rt,datafile:Crop_P1-A-1_562.d:rt_range:min,datafile:Crop_P1-A-1_562.d:rt_range:max,datafile:Crop_P1-A-1_562.d:fwhm,datafile:Crop_P1-A-1_562.d:area,datafile:Crop_P1-A-1_562.d:height,datafile:Crop_P1-A-1_562.d:intensity_range:min,datafile:Crop_P1-A-1_562.d:intensity_range:max,datafile:Crop_P1-A-1_562.d:charge,datafile:Crop_P1-A-1_562.d:fragment_scans,datafile:Crop_P1-A-1_562.d:isotopes,datafile:Crop_P1-A-1_562.d:tailing_factor,datafile:Crop_P1-A-1_562.d:asymmetry_factor,datafile:Crop_P1-A-1_562.d:msms_info,datafile:Crop_P1-A-1_562.d:rt_ms2_apex_distance,datafile:Hind_P1-A-3_564.d:feature_state,datafile:Hind_P1-A-3_564.d:mz,datafile:Hind_P1-A-3_564.d:mz_range:min,datafile:Hind_P1-A-3_564.d:mz_range:max,datafile:Hind_P1-A-3_564.d:rt,datafile:Hind_P1-A-3_564.d:rt_range:min,datafile:Hind_P1-A-3_564.d:rt_range:max,datafile:Hind_P1-A-3_564.d:fwhm,datafile:Hind_P1-A-3_564.d:area,datafile:Hind_P1-A-3_564.d:height,datafile:Hind_P1-A-3_564.d:intensity_range:min,datafile:Hind_P1-A-3_564.d:intensity_range:max,datafile:Hind_P1-A-3_564.d:charge,datafile:Hind_P1-A-3_564.d:fragment_scans,datafile:Hind_P1-A-3_564.d:isotopes,datafile:Hind_P1-A-3_564.d:tailing_factor,datafile:Hind_P1-A-3_564.d:asymmetry_factor,datafile:Hind_P1-A-3_564.d:msms_info,datafile:Hind_P1-A-3_564.d:rt_ms2_apex_distance,datafile:Mid_P1-A-2_563.d:feature_state,datafile:Mid_P1-A-2_563.d:mz,datafile:Mid_P1-A-2_563.d:mz_range:min,datafile:Mid_P1-A-2_563.d:mz_range:max,datafile:Mid_P1-A-2_563.d:rt,datafile:Mid_P1-A-2_563.d:rt_range:min,datafile:Mid_P1-A-2_563.d:rt_range:max,datafile:Mid_P1-A-2_563.d:fwhm,datafile:Mid_P1-A-2_563.d:area,datafile:Mid_P1-A-2_563.d:height,datafile:Mid_P1-A-2_563.d:intensity_range:min,datafile:Mid_P1-A-2_563.d:intensity_range:max,datafile:Mid_P1-A-2_563.d:charge,datafile:Mid_P1-A-2_563.d:fragment_scans,datafile:Mid_P1-A-2_563.d:isotopes,datafile:Mid_P1-A-2_563.d:tailing_factor,datafile:Mid_P1-A-2_563.d:asymmetry_factor,datafile:Mid_P1-A-2_563.d:msms_info,datafile:Mid_P1-A-2_563.d:rt_ms2_apex_distance
7,221.18467,221.18369,221.18586,0.5125,0.5019,0.53,2.092E3,1.204E5,5.067E3,1.204E5,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,0,,DETECTED,221.18483,221.18369,221.18586,0.5088,0.5019,0.5294,0.0192,2.092E3,1.204E5,4.652E4,1.204E5,1,,2,2.0002,3.0005,0,,ESTIMATED,221.18451,221.18406,221.18504,0.5162,0.5093,0.53,0.0294,7.609E1,5.984E3,5.067E3,5.984E3,,,,1.5002,2.0005,0,
9,238.55149,238.55056,238.55245,0.5088,0.5019,0.5294,1.149E3,6.565E4,2.759E4,6.565E4,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,0,,DETECTED,238.55149,238.55056,238.55245,0.5088,0.5019,0.5294,0.0195,1.149E3,6.565E4,2.759E4,6.565E4,1,,4,2.0002,3.0005,0,,UNKNOWN,,,,,,,,,,,,,,,,,0,
18,166.0524,166.04988,166.05327,0.5116,0.5019,0.5713,1.708E3,7.984E4,7.36E2,7.984E4,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,166.05268,166.05207,166.05327,0.5168,0.503,0.5306,0.0273,4.419E2,2.602E4,4.32E3,2.602E4,,,,1.0004,1.0008,0,,ESTIMATED,166.05221,166.05138,166.05282,0.5088,0.5019,0.5363,0.0195,6.995E2,3.563E4,7.36E2,3.563E4,,,,2.5002,3.3957,0,,DETECTED,166.05232,166.04988,166.05283,0.5093,0.5024,0.5713,0.0202,1.708E3,7.984E4,2.158E3,7.984E4,1,,29,2.9719,3.9091,0,
35,369.2492,369.24733,369.25193,0.5185,0.5024,0.5713,2.362E3,9.358E4,6.768E2,9.358E4,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,369.24878,369.24794,369.2503,0.5236,0.5168,0.5374,0.0145,6.106E1,5.723E3,3.126E3,5.723E3,,,,1.5029,2.0058,0,,ESTIMATED,369.24925,369.24925,369.24956,0.5226,0.5157,0.5294,0.0138,1.077E1,1.564E3,1.564E3,1.564E3,,,,1.0001,1.0002,0,,DETECTED,369.24956,369.24733,369.25193,0.5093,0.5024,0.5713,0.0248,2.362E3,9.358E4,6.768E2,9.358E4,1,,3,4.0054,4.9281,0,
43,545.16877,545.15916,545.17061,0.5199,0.5024,0.5581,1.87E3,1.195E5,6.971E2,1.195E5,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,545.16907,545.16801,545.1698,0.5306,0.5236,0.5581,0.0137,1.87E3,1.195E5,4.481E3,1.195E5,,,,2.1128,2.9048,0,,UNKNOWN,,,,,,,,,,,,,,,,,0,,DETECTED,545.16846,545.15916,545.17061,0.5093,0.5024,0.5575,0.0233,7.175E2,3.04E4,6.971E2,3.04E4,1,,4,3.0212,4.0104,0,
44,546.10277,546.09846,546.10953,0.5093,0.5024,0.5506,9.175E1,4.396E3,5.229E1,4.396E3,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,UNKNOWN,,,,,,,,,,,,,,,,,0,,UNKNOWN,,,,,,,,,,,,,,,,,0,,DETECTED,546.10277,546.09846,546.10953,0.5093,0.5024,0.5506,0.0198,9.175E1,4.396E3,5.229E1,4.396E3,1,,7,2.8703,4.6335,0,
49,380.59039,380.58908,380.59246,0.5099,0.503,0.5581,1.282E3,3.88E4,1.845E3,3.88E4,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,DETECTED,380.59039,380.58908,380.59246,0.5099,0.503,0.5581,0.0381,1.282E3,3.88E4,1.845E3,3.88E4,1,,4,3.4995,5.812,0,,UNKNOWN,,,,,,,,,,,,,,,,,0,,UNKNOWN,,,,,,,,,,,,,,,,,0,
61,847.29262,847.28566,847.30693,0.5099,0.503,0.5581,2.114E3,9.224E4,5.079E2,9.224E4,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,DETECTED,847.29262,847.28566,847.30693,0.5099,0.503,0.5581,0.0236,2.114E3,9.224E4,5.079E2,9.224E4,1,,4,2.9107,4.3999,1,,UNKNOWN,,,,,,,,,,,,,,,,,0,,UNKNOWN,,,,,,,,,,,,,,,,,0,
90,175.10639,175.10569,175.10916,0.5231,0.5019,0.557,1.46E3,6.018E4,1.296E3,6.018E4,1,0,0.167,1,0,1,0,0,0,0,,,,,,14,[M+NH4]+,2,157.07263,428;90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,175.106,175.106,175.10658,0.5374,0.5306,0.5443,0.0138,2.618E1,3.803E3,3.803E3,3.803E3,,,,1,1,0,,DETECTED,175.10658,175.10584,175.10916,0.5157,0.5019,0.557,0.0225,1.46E3,6.018E4,4.859E3,6.018E4,1,,18,2.3738,1.9578,0,,ESTIMATED,175.10658,175.10569,175.10706,0.5162,0.5024,0.5506,0.0151,2.168E2,1.205E4,1.296E3,1.205E4,,,,1.7501,2.0559,0,
105,348.00376,347.99787,348.01077,0.5157,0.5019,0.5501,8.035E1,3.476E3,2.927E2,3.476E3,1,0,0.167,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,UNKNOWN,,,,,,,,,,,,,,,,,0,,DETECTED,348.00376,347.99787,348.01077,0.5157,0.5019,0.5501,0.0622,8.035E1,3.476E3,2.927E2,3.476E3,1,,3,1.5763,1.9298,0,,UNKNOWN,,,,,,,,,,,,,,,,,0,
