probe_id	gene_symbol	gene_name	go_ids
A0A7M6UFW8	A0A7M6UFW8	A0A7M6UFW8	GO:0004722|GO:0004725|GO:0005634|GO:0005829|GO:0005886|GO:0008285|GO:0016314|GO:0043005|GO:0043491|GO:0046856|GO:0048870|GO:0050793|GO:0051896
A0A7M6UMR7	A0A7M6UMR7	A0A7M6UMR7	GO:0005615|GO:0005634|GO:0005730|GO:0030139|GO:0045735
A0A7M7G0A0	A0A7M7G0A0	A0A7M7G0A0	GO:0000139|GO:0005524|GO:0005576|GO:0005741|GO:0005765|GO:0005789|GO:0005886|GO:0015439|GO:0016887|GO:0020037|GO:0031901|GO:0032585
A0A7M7G9W6	A0A7M7G9W6	A0A7M7G9W6	GO:0001729|GO:0004143|GO:0005524|GO:0005743|GO:0005758|GO:0046486|GO:0046512|GO:0046513|GO:0047620
A0A7M7GMR8	A0A7M7GMR8	A0A7M7GMR8	GO:0004144|GO:0005789|GO:0019432|GO:0050252
A0A7M7GRT0	A0A7M7GRT0	A0A7M7GRT0	GO:0005112|GO:0005509|GO:0005856|GO:0005886|GO:0005911|GO:0007219|GO:0007411|GO:0008587|GO:0009986|GO:0016318|GO:0016330|GO:0030718|GO:0035214|GO:0036011|GO:0040008|GO:0042063|GO:0042995|GO:0043208|GO:0043235|GO:0045179|GO:0046331|GO:0048018|GO:0048056|GO:0048100|GO:0048732|GO:0050769|GO:0120035
A0A7M7GUK4	A0A7M7GUK4	A0A7M7GUK4	GO:0005739|GO:0008270|GO:0008453|GO:0009436|GO:0016223|GO:0019481|GO:0030170|GO:0047305
A0A7M7GWT5	A0A7M7GWT5	A0A7M7GWT5	GO:0005112|GO:0005509|GO:0005856|GO:0005886|GO:0005911|GO:0007219|GO:0007411|GO:0008587|GO:0009986|GO:0016318|GO:0016330|GO:0030718|GO:0035214|GO:0036011|GO:0040008|GO:0042063|GO:0042995|GO:0043208|GO:0045179|GO:0046331|GO:0048018|GO:0048056|GO:0048100|GO:0048732|GO:0050769|GO:0120035
A0A7M7GXT9	A0A7M7GXT9	A0A7M7GXT9	GO:0004622|GO:0004623|GO:0004806|GO:0006644|GO:0016324
A0A7M7H069	A0A7M7H069	A0A7M7H069	GO:0004312|GO:0004313|GO:0004315|GO:0004316|GO:0006633|GO:0016297|GO:0019171|GO:0031177|GO:0141148
A0A7M7H2V0	A0A7M7H2V0	A0A7M7H2V0	GO:0003988|GO:0005739|GO:0005777|GO:0006629|GO:0006869|GO:0008289|GO:0050633
A0A7M7IG75	A0A7M7IG75	A0A7M7IG75	GO:0004722|GO:0004725|GO:0005634|GO:0005829|GO:0005886|GO:0008285|GO:0016314|GO:0043005|GO:0043491|GO:0046856|GO:0048870|GO:0050793|GO:0051896
A0A7M7IIQ1	A0A7M7IIQ1	A0A7M7IIQ1	GO:0004144|GO:0005789|GO:0019432|GO:0050252
A0A7M7KZQ7	A0A7M7KZQ7	A0A7M7KZQ7	GO:0004722|GO:0004725|GO:0005634|GO:0005829|GO:0005886|GO:0008285|GO:0016314|GO:0043005|GO:0043491|GO:0046856|GO:0048870|GO:0050793|GO:0051896
A0A7M7L562	A0A7M7L562	A0A7M7L562	GO:0004722|GO:0004725|GO:0005634|GO:0005829|GO:0005886|GO:0008285|GO:0016314|GO:0043005|GO:0043491|GO:0046856|GO:0048870|GO:0050793|GO:0051896
A0A7M7L8V2	A0A7M7L8V2	A0A7M7L8V2	GO:0000287|GO:0004775|GO:0004776|GO:0004896|GO:0005524|GO:0005525|GO:0005739|GO:0005886|GO:0005918|GO:0006099|GO:0006104|GO:0008366|GO:0019991|GO:0021682|GO:0042709|GO:0060857|GO:0061343|GO:0098552
